date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:32	32491/32491	U-----	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:48:59%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3-html-tfed90.html	(from )
15:27:32	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Thu,%2012%20Sep%202019%2008:27:32%20GMT	https://demo.hasthemes.com/robots.txt		(from )
15:27:33	1150/1150	U-----	200	untouched ('')	application/octet-stream	etag:%229c9a750812bab056b475fb9cc078f51e%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/favicon.ico	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/favicon.ico	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:27:33	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Thu,%2012%20Sep%202019%2008:27:32%20GMT	https://demo.hasthemes.com/boighor-preview/index.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/index.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:27:33	7067/7067	U-----	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202019%2004:49:28%20GMT	https://demo.hasthemes.com/boighor-preview/p2/css/et-line.css	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/css/et-line.css	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:27:33	25396/25396	U-----	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202019%2004:49:29%20GMT	https://demo.hasthemes.com/boighor-preview/p2/css/plugins.css	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/css/plugins.css	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:28:08	122231/122231	U-----	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202019%2004:49:28%20GMT	https://demo.hasthemes.com/boighor-preview/p2/css/bootstrap.min.css	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/css/bootstrap.min.css	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:28:08	30999/30999	U-----	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202019%2004:49:29%20GMT	https://demo.hasthemes.com/boighor-preview/p2/css/font-awesome.min.css	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/css/font-awesome.min.css	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:28:09	21656/21656	U-----	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202019%2004:49:11%20GMT	https://demo.hasthemes.com/boighor-preview/p2/style.css	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/style.css	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:28:09	1730/1730	U-----	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202019%2004:49:29%20GMT	https://demo.hasthemes.com/boighor-preview/p2/css/responsive.css	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/css/responsive.css	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:28:09	15514/15514	U-----	200	untouched ('')	application/javascript	date:Thu,%2027%20Jun%202019%2004:50:47%20GMT	https://demo.hasthemes.com/boighor-preview/p2/js/vendor/modernizr-2.8.3.min.js	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/js/vendor/modernizr-2.8.3.min.js	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:28:10	154961/154961	U-----	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:05%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/index.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/index.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
